Env	DistB73	SS	NSS	TS	INBRED	DTT_Inbred	PltYield_Inbred	TSLLEN_Inbred	TSLBCHCNT_Inbred	TSLANG_Inbred	PLTHT_Inbred	UPLFANG_Inbred	LFWDT_Inbred	LFLEN_Inbred	RPR_Inbred	STLKWDT_Inbred	10KWt_Inbred	CobDia_Inbred	KnlHgt_Inbred	EarLength_Inbred	CobWt_Inbred	TotKnlWt_Inbred	DTT_B73	PltYield_B73	TSLLEN_B73	TSLBCHCNT_B73	TSLANG_B73	PLTHT_B73	UPLFANG_B73	LFWDT_B73	LFLEN_B73	RPR_B73	STLKWDT_B73	10KWt_B73	CobDia_B73	KnlHgt_B73	EarLength_B73	CobWt_B73	TotKnlWt_B73	DTT_Hyb	PltYield_Hyb	TSLLEN_Hyb	TSLBCHCNT_Hyb	TSLANG_Hyb	PLTHT_Hyb	UPLFANG_Hyb	LFWDT_Hyb	LFLEN_Hyb	RPR_Hyb	STLKWDT_Hyb	10KWt_Hyb	CobDia_Hyb	KnlHgt_Hyb	EarLength_Hyb	CobWt_Hyb	TotKnlWt_Hyb	DTT_bph	PltYield_bph	TSLLEN_bph	TSLBCHCNT_bph	TSLANG_bph	PLTHT_bph	UPLFANG_bph	LFWDT_bph	LFLEN_bph	RPR_bph	STLKWDT_bph	10KWt_bph	CobDia_bph	KnlHgt_bph	EarLength_bph	CobWt_bph	TotKnlWt_bph
02F	1.39759392	0.014	0.972	0.014	33-16	55	.	339.6666667	16	43.33333333	133.3333333	70	99.66666667	694	8.5	17	2.1	14.77666667	10.79666667	70.22333333	4.166666667	14.56666667	63	.	227.5	6	82.5	150	80	88.5	754.5	9.2	15.5	2.583333334	25.59333334	15.04166667	115.8866667	15.9	62.85	51	.	356.6666667	9.333333333	50	140	67.5	95.66666667	794.6666667	10.45	20	3.28	27.786	22.936	122.272	20.44	124.44	4	.	56.08333335	5	19.58333334	8.33333335	5	5.583333335	30.25	0.35	0.75	0.241666667	5.408333333	2.122499998	22.83166666	5.866666667	24.14166667
02F	1.73649679	0.003	0.993	0.004	38-11	64	.	300	8.8	48	135	52	78	830	10.3	14	2.36	24.328	12.838	109.86	9.9	47.9	63	.	227.5	6	82.5	150	80	88.5	754.5	9.2	15.5	2.583333334	25.59333334	15.04166667	115.8866667	15.9	62.85	56	.	378	11	60	160	50	100	921	8.4	17	3.66	32.638	21.434	148.05	27.12	133.32	0.5	.	36.25	1.4	17.25	7.5	14	5.25	37.75	0.55	0.75	0.111666667	0.632666668	1.101833333	3.013333325	3	7.475
02F	1.58696506	0.071	0.917	0.012	4226	54	.	293	18.66666667	56.66666667	130	38.33333333	97	706.3333333	8.266666667	13.5	.	18.63666667	6.48	94.67666667	6.433333333	1.466666667	63	.	227.5	6	82.5	150	80	88.5	754.5	9.2	15.5	2.583333334	25.59333334	15.04166667	115.8866667	15.9	62.85	52	.	370.5	13.5	47.5	175	51.25	108.5	869.25	8.1	18.33333333	3.08	27.474	21.114	133.142	26.52	124.02	4.5	.	32.75	6.333333335	12.91666667	10	20.83333334	4.25	24.08333335	0.466666667	1	.	3.478333333	4.280833333	10.60499999	4.733333334	30.69166667
02F	1.84957904	0.035	0.854	0.111	4722	66	.	333	8	55	126.6666667	52.5	95.33333333	749.3333333	.	18.5	1.9	22.73	10.99	127.8133333	18.3	45.46666667	63	.	227.5	6	82.5	150	80	88.5	754.5	9.2	15.5	2.583333334	25.59333334	15.04166667	115.8866667	15.9	62.85	54	.	389.5	11	45	150	57.5	106	902	9.6	17	2.92	26.918	19.568	161.562	27.98	147.1	1.5	.	52.75	1	13.75	11.66666665	13.75	3.416666665	2.58333335	.	1.5	0.341666667	1.431666668	2.025833333	5.963333325	1.2	8.691666665
02F	1.28996325	0.189	0.785	0.026	796	60	.	340	8.333333333	56.66666667	98.33333333	21.66666667	88	704.3333333	10	16	3.2	23.76666667	18.60333333	84.31	11.23333333	58.13333333	63	.	227.5	6	82.5	150	80	88.5	754.5	9.2	15.5	2.583333334	25.59333334	15.04166667	115.8866667	15.9	62.85	54	.	.	.	.	118.3333333	51.66666667	96.33333333	761.6666667	10.63333333	16	3.8	26.912	23.82	122.26	20.74	124.68	1.5	.	.	.	.	25.83333334	29.16666667	0.25	25.08333335	0.4	0.25	0.308333333	0.913333332	1.780833333	15.78833333	2.333333335	2.358333335
02F	1.59826461	0	0	0	81-1	68	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	63	.	227.5	6	82.5	150	80	88.5	754.5	9.2	15.5	2.583333334	25.59333334	15.04166667	115.8866667	15.9	62.85	57	.	383	12.5	42.5	162.5	65	101	1000.5	9.2	17	3.5	29.106	20.81	153.91	28.16	117.7	2.5	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
02F	1.10424611	0.762	0.017	0.221	A214N	58	.	286.8	4	52	99	66	74.2	619.2	10.6	12.33333333	2.74	19.632	12.736	132.328	9	40.5	63	.	227.5	6	82.5	150	80	88.5	754.5	9.2	15.5	2.583333334	25.59333334	15.04166667	115.8866667	15.9	62.85	56	.	335.75	5.25	55	135	60	90.5	735.75	12.275	16.5	3.04	24.956	21.302	146.846	17.66	124.06	2.5	.	29.65	1	15.25	25.5	7	7.15	67.65	0.7	1.583333335	0.078333333	2.980666668	1.152833333	8.220666675	3.45	11.175
02F	1.44411393	0.035	0.963	0.002	A239	54	.	255.2	4.6	39	90	52	85.4	646.2	8.72	14.33333333	2.74	23.382	14.022	83.948	8.24	36.22	63	.	227.5	6	82.5	150	80	88.5	754.5	9.2	15.5	2.583333334	25.59333334	15.04166667	115.8866667	15.9	62.85	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
02F	1.59826461	0.019	0.122	0.859	A272	69	.	213	7	65	.	.	.	593	.	.	2.2	14.89	5.99	89.86	4.5	4.3	63	.	227.5	6	82.5	150	80	88.5	754.5	9.2	15.5	2.583333334	25.59333334	15.04166667	115.8866667	15.9	62.85	51	.	331.5	11	52.5	135	62.5	91.5	836	8.95	15.5	3.48	27.052	21.034	156.622	21.12	132.46	3	.	7.25	0.5	8.75	.	.	.	80.75	.	.	0.191666667	5.351666668	4.525833333	13.01333333	5.7	29.275
02F	1.92368701	0.005	0.531	0.464	A441-5	60	.	302	10	50	115	45	117	843	10.9	13	3.82	22.37	13.39	89.668	14.16	24.24	63	.	227.5	6	82.5	150	80	88.5	754.5	9.2	15.5	2.583333334	25.59333334	15.04166667	115.8866667	15.9	62.85	53	.	399	14	63.75	156.25	59	118	945	10.775	18	4.34	30.412	26.676	152.8	34.1	187.94	1.5	.	37.25	2	16.25	17.5	17.5	14.25	44.25	0.85	1.25	0.618333333	1.611666668	0.825833333	13.10933333	0.87	19.305
02F	1.26976054	0.019	0.979	0.002	A554	53	.	270.4	6	59	88	39	73.8	586.6	7.44	9.333333333	2.12	20.234	12.774	62.356	5.52	24.44	63	.	227.5	6	82.5	150	80	88.5	754.5	9.2	15.5	2.583333334	25.59333334	15.04166667	115.8866667	15.9	62.85	50	.	356.5	6	55	138.3333333	55	95.5	753	8.85	22	3.7	26.49	21.936	140.744	26.14	127.3	5	.	21.45	0	11.75	31	20.5	7.35	83.95	0.88	3.083333334	0.231666667	2.679666668	1.133833333	26.76533333	5.19	19.205
02F	1.33163595	0.004	0.994	0.002	A556	51	.	260.5	5.5	50	80	47.5	81.5	590.5	12.2	13	2.15	17.815	12.255	90.36	8.95	26.25	63	.	227.5	6	82.5	150	80	88.5	754.5	9.2	15.5	2.583333334	25.59333334	15.04166667	115.8866667	15.9	62.85	53	.	365	9	45	150	55	103	829	9.3	19	2.96	25.7	21.108	140.814	24.4	126.86	6	.	16.5	0.25	16.25	35	16.25	3.5	82	1.5	1.25	0.216666667	3.889166668	1.393333333	12.76333333	3.475	18.3
02F	1.70181123	0.003	0.03	0.967	A6	73	.	.	.	.	161.25	70	85.25	818.5	9.95	13	2.4	26.62	7.665	108.33	15.225	31.175	63	.	227.5	6	82.5	150	80	88.5	754.5	9.2	15.5	2.583333334	25.59333334	15.04166667	115.8866667	15.9	62.85	59	.	375.3333333	13.66666667	60	188.3333333	68.33333333	114	922.6666667	7.333333333	17.5	3.88	31.7	24.124	136.206	30.42	144.08	5	.	.	.	.	5.625	5	1.625	32	0.375	1.25	0.091666667	0.513333333	3.688333333	3.778333325	0.3375	15.8375
02F	1.59826461	0.009	0.99	0.001	A619	55	.	258.4	6.4	70	128	61	90	664.2	9.7	18.66666667	2.88	28.2	14.21	105.618	12.64	51.5	63	.	227.5	6	82.5	150	80	88.5	754.5	9.2	15.5	2.583333334	25.59333334	15.04166667	115.8866667	15.9	62.85	49	.	369	8	70	145	65	99	878	9.8	19	4	31.81	22.058	149.238	30.62	148.44	4	.	15.45	0.2	6.25	11	9.5	0.75	45.15	0.25	1.583333335	0.148333333	1.303333333	0.415833333	5.134333325	1.63	5.675
02F	0.85299588	0.993	0.004	0.003	A632	55	.	242.6	5.2	45	111	8	78.2	737.4	10.5	14.66666667	2.68	21.612	14.462	99.034	10.5	48.56	63	.	227.5	6	82.5	150	80	88.5	754.5	9.2	15.5	2.583333334	25.59333334	15.04166667	115.8866667	15.9	62.85	53	.	325.3333333	5.333333333	51.66666667	130	60	89.5	818	12.1	.	3.36	28.728	18.572	123.642	19.5	116.62	4	.	7.55	0.4	18.75	19.5	36	5.15	8.55	0.65	.	0.048333333	1.990666668	0.289833333	8.426333325	2.7	7.145
02F	0.82667857	0.897	0.1	0.003	A634	51	.	240.5714286	2.857142857	57.14285714	94.28571429	22.85714286	75.57142857	665.1428571	11.04285714	13.5	3.342857143	21.40571429	12.31428571	83.05	8.157142857	31.35714286	63	.	227.5	6	82.5	150	80	88.5	754.5	9.2	15.5	2.583333334	25.59333334	15.04166667	115.8866667	15.9	62.85	51	.	336	5	60	140	55	78	852	10.1	17	3.46	24.946	21.178	145.382	23.04	140.24	6	.	6.5357143	1.571428572	12.67857143	27.85714286	28.57142857	6.464285715	44.67857145	0.92142857	1	0.379761905	2.093809523	1.363690478	16.41833333	3.871428572	15.74642857
02F	0.85299588	0.825	0.171	0.004	A635	59	.	257.8	5.8	41	77	11	68.6	647	.	8	2.075	17.375	15.42	85.945	4.475	24.45	63	.	227.5	6	82.5	150	80	88.5	754.5	9.2	15.5	2.583333334	25.59333334	15.04166667	115.8866667	15.9	62.85	49	.	341.3333333	6.333333333	46.66666667	130	56.66666667	95	812.3333333	11.26666667	11	3.6	28.42	21.858	145.446	24.34	124.74	2	.	15.15	0.1	20.75	36.5	34.5	9.95	53.75	.	3.75	0.254166667	4.109166668	0.189166667	14.97083333	5.7125	19.2
02F	1.02290047	0.517	0.481	0.002	A641	55	.	279	4	63.33333333	90	48.33333333	.	565	8.266666667	14	2.833333333	21.75	11.73	83.08333333	9.533333333	34.7	63	.	227.5	6	82.5	150	80	88.5	754.5	9.2	15.5	2.583333334	25.59333334	15.04166667	115.8866667	15.9	62.85	52	.	337	6	65	155	67.5	95.5	784.5	8.65	17	3.62	28.846	21.598	148.266	24.96	146.12	4	.	25.75	1	9.583333335	30	15.83333334	.	94.75	0.466666667	0.75	0.125	1.921666668	1.655833333	16.40166666	3.183333334	14.075
02F	1.23053983	0.083	0.915	0.002	A654	51	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	63	.	227.5	6	82.5	150	80	88.5	754.5	9.2	15.5	2.583333334	25.59333334	15.04166667	115.8866667	15.9	62.85	49	.	368.3333333	7	58.33333333	131.6666667	63.33333333	102.6666667	787.6666667	11.96666667	20.66666667	3.5	29.82	20.064	127.94	27.04	109.86	6	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
02F	1.68527599	0.006	0.991	0.003	A659	49	.	335.8333333	8.166666667	47.5	106.6666667	65.83333333	68.83333333	818.8333333	10.06666667	11.75	2.366666667	22.50833333	13.22	91.79666667	11.03333333	36.33333333	63	.	227.5	6	82.5	150	80	88.5	754.5	9.2	15.5	2.583333334	25.59333334	15.04166667	115.8866667	15.9	62.85	49	.	372	9	47.5	138.3333333	65	97.5	852	11.15	15	3.64	27.792	21.25	129.806	23.32	120.54	7	.	54.16666665	1.083333334	17.5	21.66666665	7.083333335	9.833333335	32.16666665	0.433333335	1.875	0.108333333	1.542500003	0.910833333	12.04499999	2.433333335	13.25833334
02F	1.44411393	0.111	0.852	0.037	A661	48	.	284	4	60	105	55	81	645	10.4	.	2.2	25.83	14.32	78.91	9.7	20.5	63	.	227.5	6	82.5	150	80	88.5	754.5	9.2	15.5	2.583333334	25.59333334	15.04166667	115.8866667	15.9	62.85	49	.	341	6.333333333	65	145	63.33333333	108.5	770	9.966666667	17.5	3.36	30.78	20.082	142.194	30.08	118.9	7.5	.	28.25	1	11.25	22.5	12.5	3.75	54.75	0.6	.	0.191666667	0.118333333	0.360833333	18.48833333	3.1	21.175
02F	0.41109893	0.862	0.127	0.011	A679	60	.	314.2	6	68	135	75	91.8	778.2	10.175	20	2.62	24.978	17.842	139.204	21.48	105.7	63	.	227.5	6	82.5	150	80	88.5	754.5	9.2	15.5	2.583333334	25.59333334	15.04166667	115.8866667	15.9	62.85	58	.	286	5.5	72.5	150	75	88.5	803.5	11.15	18	3.06	30.698	17.94	133.154	24.28	122.46	1.5	.	43.35	0	7.25	7.5	2.5	1.65	11.85	0.4875	2.25	0.018333333	0.307666667	1.400166668	11.65866668	2.79	21.425
02F	0.16450371	0.993	0.004	0.003	A680	59	.	267.2	7.2	74	133	78	94.2	773.4	8.46	16.66666667	2.76	25.79	16.39	117.592	16.12	71.04	63	.	227.5	6	82.5	150	80	88.5	754.5	9.2	15.5	2.583333334	25.59333334	15.04166667	115.8866667	15.9	62.85	56	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	2	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
02F	1.92368701	0.002	0.997	0.001	A682	49	.	358	2.2	31	123	20	76	678.4	13.48	12	3.28	21.158	15.494	118.276	9.32	56.9	63	.	227.5	6	82.5	150	80	88.5	754.5	9.2	15.5	2.583333334	25.59333334	15.04166667	115.8866667	15.9	62.85	49	.	397.5	6.5	55	150	65	94	836	8.8	14	4	28.205	21.125	150.015	26.2	159.2	7	.	65.25	1.9	25.75	13.5	30	6.25	38.05	2.14	1.75	0.348333333	2.217666668	0.226166667	1.194666675	3.29	2.975
02F	1.88594668	0.002	0.776	0.222	Ab28A	68	.	268.6666667	9.666666667	81.66666667	120	65	.	836	10.1	14	2.58	22.764	11.684	104.31	17.6	32.58	63	.	227.5	6	82.5	150	80	88.5	754.5	9.2	15.5	2.583333334	25.59333334	15.04166667	115.8866667	15.9	62.85	57	.	369	7	43.33333333	170	66.66666667	112.3333333	860	8.2	15	3.48	28.954	20.4	131.448	33.48	128.88	2.5	.	20.58333335	1.833333334	0.416666665	15	7.5	.	40.75	0.45	0.75	0.001666667	1.414666668	1.678833333	5.788333325	0.85	15.135
02F	1.12134054	0.429	0.57	0.001	B10	65	.	309.6	10	54	119	29	.	800.6	8.22	12.75	3.32	26.49	8.582	106.364	16.08	32.82	63	.	227.5	6	82.5	150	80	88.5	754.5	9.2	15.5	2.583333334	25.59333334	15.04166667	115.8866667	15.9	62.85	56	.	291	7.5	50	110	55	94	764	8.6	16	4.14	33.922	20.294	131.606	35.54	116.84	1	.	41.05	2	14.25	15.5	25.5	.	23.05	0.49	1.375	0.368333333	0.448333332	3.229833333	4.761333325	0.09	15.015
02F	0.5866637	0.694	0.305	0.001	B104	58	.	260.75	10	42.5	107.5	65	83.75	775.5	11.95	18	3.525	27.7775	16.7525	117.9475	21.775	87.825	63	.	227.5	6	82.5	150	80	88.5	754.5	9.2	15.5	2.583333334	25.59333334	15.04166667	115.8866667	15.9	62.85	56	.	329.5	7.75	55	121.25	71.66666667	103	775.6666667	10.15	23	3.92	32.044	20.312	142.968	32.92	103.26	2.5	.	16.625	2	20	21.25	7.5	2.375	10.5	1.375	1.25	0.470833333	1.092083333	0.855416668	1.030416675	2.9375	12.4875
02F	1.12134054	0.397	0.566	0.037	B105	64	.	423.4	9.4	46	127	74	82.4	838	11.6	15.5	2.68	27.768	11.732	93.954	11.32	54.22	63	.	227.5	6	82.5	150	80	88.5	754.5	9.2	15.5	2.583333334	25.59333334	15.04166667	115.8866667	15.9	62.85	59	.	370.5	8.5	47.5	153.3333333	70	104	823	10.35	22.5	3.62	30.612	16.108	138.308	28.64	131.68	0.5	.	97.95	1.7	18.25	11.5	3	3.05	41.75	1.2	0	0.048333333	1.087333333	1.654833333	10.96633333	2.29	4.315
02F	0.24730962	0.995	0.003	0.002	B109	58	.	231.4	5.4	55	132	70	89.8	671.2	11.18	11.5	2.9	26.924	13.566	107.904	11.52	64.66	63	.	227.5	6	82.5	150	80	88.5	754.5	9.2	15.5	2.583333334	25.59333334	15.04166667	115.8866667	15.9	62.85	58	.	259.3333333	6.666666667	63.33333333	143.75	73.75	84	734.5	9.275	14	2.96	25.706	18.656	99.152	13.9	76.68	2.5	.	1.95	0.3	13.75	9	5	0.65	41.65	0.99	2	0.158333333	0.665333332	0.737833332	3.991333325	2.19	0.905
02F	1.57086564	0.061	0.847	0.092	B115	57	.	346.25	15.25	26.25	112.5	27.5	87.5	791	11.7	13	3.1	20.2925	14.535	102.8975	11.575	25.625	63	.	227.5	6	82.5	150	80	88.5	754.5	9.2	15.5	2.583333334	25.59333334	15.04166667	115.8866667	15.9	62.85	53	.	366.6666667	11.33333333	38.33333333	135	58.33333333	103.3333333	845.6666667	12.9	23	3.46	28.716	23.776	142.62	24.7	138.22	3	.	59.375	4.625	28.125	18.75	26.25	0.5	18.25	1.25	1.25	0.258333333	2.650416668	0.253333333	6.494583325	2.1625	18.6125
02F	0.7873344	0.998	0.001	0.001	B14A	57	.	263.2	5.6	47	139	10	77.6	818.6	13.8	19	3.16	24.034	14.768	124.256	15.12	53.54	63	.	227.5	6	82.5	150	80	88.5	754.5	9.2	15.5	2.583333334	25.59333334	15.04166667	115.8866667	15.9	62.85	53	.	345	7	80	143.3333333	52.5	83	905.5	10.6	.	3.44	26.296	20.76	158.512	23.7	132.46	3	.	17.85	0.2	17.75	5.5	35	5.45	32.05	2.3	.	0.288333333	0.779666667	0.136833333	4.184666675	0.39	4.655
02F	1.23053983	0.233	0.756	0.011	B164	50	.	280.3333333	11	63.33333333	106.6666667	51.66666667	80	722	8.333333333	15	2.033333333	19.59333333	13.20666667	121.79	8.766666667	33.03333333	63	.	227.5	6	82.5	150	80	88.5	754.5	9.2	15.5	2.583333334	25.59333334	15.04166667	115.8866667	15.9	62.85	53	.	334	11	30	135	65	96	849.5	8.75	19.5	3.54	25.438	20.84	144.432	22.2	127.38	6.5	.	26.41666665	2.5	9.583333335	21.66666665	14.16666667	4.25	16.25	0.433333333	0.25	0.275	3.000000003	0.917499998	2.951666675	3.566666667	14.90833334
02F	1.68527599	0.007	0.988	0.005	B2	61	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	63	.	227.5	6	82.5	150	80	88.5	754.5	9.2	15.5	2.583333334	25.59333334	15.04166667	115.8866667	15.9	62.85	53	.	381.6	7.4	63	135	61.25	94.4	866.6	10.35	21	4.16	28.492	20.854	141.928	25.44	104.16	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
02F	0.98082925	0.997	0.002	0.001	B37	58	.	280.75	8	43.75	135	61.25	96	717	10.6	20.5	2.325	22.76	14.945	108.5625	19.425	51.425	63	.	227.5	6	82.5	150	80	88.5	754.5	9.2	15.5	2.583333334	25.59333334	15.04166667	115.8866667	15.9	62.85	54	.	314	7	52.5	150	65	101	801.3333333	8.966666667	16.5	3.08	31.138	19.158	134.764	29.06	103.84	2.5	.	26.625	1	19.375	7.5	9.375	3.75	18.75	0.7	2.5	0.129166667	1.416666668	0.048333333	3.662083325	1.7625	5.7125
02F	1.1927995	0.214	0.784	0.002	B46	63	.	277.2	10	59	125	24	80.6	753.8	10.34	13.33333333	3.1	26.87	16.702	139.606	19.78	76.74	63	.	227.5	6	82.5	150	80	88.5	754.5	9.2	15.5	2.583333334	25.59333334	15.04166667	115.8866667	15.9	62.85	56	.	318	6	45	120	55	100	848	10.5	.	3.66	30.402	20.586	148.158	35.26	139.56	0	.	24.85	2	11.75	12.5	28	3.95	0.35	0.57	.	0.258333333	0.638333333	0.830166668	11.85966668	1.94	6.945
02F	1.54419739	0.012	0.985	0.003	B52	64	.	334.75	4.25	75	150	55	86.33333333	771.3333333	9.85	18	2.4	25.25333333	14.51666667	146.51	20.875	39.125	63	.	227.5	6	82.5	150	80	88.5	754.5	9.2	15.5	2.583333334	25.59333334	15.04166667	115.8866667	15.9	62.85	51	.	394.5	12	52.5	155	70	94	873	13	24	3.14	29.7	23.25	161.132	30.98	156.58	0.5	.	53.625	0.875	3.75	0	12.5	1.083333335	8.41666665	0.325	1.25	0.091666667	0.170000003	0.262499998	15.31166668	2.4875	11.8625
02F	1.35314215	0.002	0.996	0.002	B57	62	.	252	17	45	86.25	47.5	77	673	11.85	13	2.625	21.945	12.4225	100.9075	12.075	41.525	63	.	227.5	6	82.5	150	80	88.5	754.5	9.2	15.5	2.583333334	25.59333334	15.04166667	115.8866667	15.9	62.85	52	.	387	12	20	125	.	.	.	.	15	3	30.738	20.12	143.186	30.1	156.32	0.5	.	12.25	5.5	18.75	31.875	.	.	.	.	1.25	0.020833333	1.824166668	1.309583333	7.489583325	1.9125	10.6625
02F	0.86859586	0.988	0.002	0.01	B64	63	.	358.2	5.2	44	144	53	89.4	828	14.76	15	2.52	23.074	14.938	121.566	17.72	62.68	63	.	227.5	6	82.5	150	80	88.5	754.5	9.2	15.5	2.583333334	25.59333334	15.04166667	115.8866667	15.9	62.85	52	.	372.2	6	60	148.75	63.75	103.25	879.25	11.425	17.33333333	3.64	28.912	21.044	167.562	33.54	154.44	0	.	65.35	0.4	19.25	3	13.5	0.45	36.75	2.78	0.25	0.031666667	1.259666668	0.051833332	2.839666675	0.91	0.085
02F	0.82507472	0.998	0.001	0.001	B68	64	.	285.6	10.6	49	136	21	83	797.4	12.26	18.33333333	2.75	22.084	17.096	108.088	14.125	63.6	63	.	227.5	6	82.5	150	80	88.5	754.5	9.2	15.5	2.583333334	25.59333334	15.04166667	115.8866667	15.9	62.85	55	.	316	7	35	145	60	100	895	10.2	.	3.66	30.926	17.928	153.396	26.16	151.66	0.5	.	29.05	2.3	16.75	7	29.5	2.75	21.45	1.53	.	0.083333333	1.754666668	1.027166668	3.899333325	0.8875	0.375
02F	0.02849196	0.999	0.001	1.10E-16	B73Htrhm	63	.	243.4	4.8	75	139	79	87	696	7.84	18	2.32	26.52	16.496	107.69	15.58	70.92	63	.	227.5	6	82.5	150	80	88.5	754.5	9.2	15.5	2.583333334	25.59333334	15.04166667	115.8866667	15.9	62.85	62	.	249	6	70	138.3333333	78.33333333	95	754.6666667	9.25	17	2.62	28.266	18.032	107.618	18.3	77.44	0	.	7.95	0.6	3.75	5.5	0.5	0.75	29.25	0.68	1.25	0.131666667	0.463333333	0.727166667	4.098333325	0.16	4.035
02F	1.42058343	0.005	0.993	0.002	B75	56	.	314.2	2	50	99	38	92	656.8	11.14	15	2.68	21.582	13.168	92.938	9.04	38.46	63	.	227.5	6	82.5	150	80	88.5	754.5	9.2	15.5	2.583333334	25.59333334	15.04166667	115.8866667	15.9	62.85	54	.	343	4.5	55	126.6666667	43.33333333	111.6666667	800.6666667	8.766666667	18	3.2	27.21	23.276	135.738	22.62	148.06	3.5	.	43.35	2	16.25	25.5	21	1.75	48.85	0.97	0.25	0.048333333	2.005666668	0.936833333	11.47433333	3.43	12.195
02F	1.12134054	0.912	0.087	0.001	B76	55	.	292	4.75	36.25	111.25	58.75	84.75	661.25	9.15	18.33333333	2.5	24.0025	8.835	91.225	12.2	21.3	63	.	227.5	6	82.5	150	80	88.5	754.5	9.2	15.5	2.583333334	25.59333334	15.04166667	115.8866667	15.9	62.85	51	.	361.5	6	50	145	60	98	817	8.9	22	3.54	24.886	20.604	143.33	27.72	141.06	4	.	32.25	0.625	23.125	19.375	10.625	1.875	46.625	0.025	1.416666665	0.041666667	0.795416668	3.103333333	12.33083333	1.85	20.775
02F	1.46821148	0.083	0.915	0.002	B77	59	.	314.2	7.4	52	99	38	92.8	610	10.14	19.66666667	2.72	25.246	13.376	129.198	12.86	60.96	63	.	227.5	6	82.5	150	80	88.5	754.5	9.2	15.5	2.583333334	25.59333334	15.04166667	115.8866667	15.9	62.85	54	.	394	6	80	.	55	110	869.5	10.25	22	3.48	29.152	21.95	154.52	29.48	149.68	2	.	43.35	0.7	15.25	.	21	2.15	72.25	0.47	2.083333335	0.068333333	0.173666668	0.832833333	6.655666675	1.52	0.945
02F	1.12134054	0.305	0.693	0.002	B79	62	.	305.2	13	40	123	65	104.2	784.8	7.22	11	2.58	27.8	12.644	107.536	14.3	51.56	63	.	227.5	6	82.5	150	80	88.5	754.5	9.2	15.5	2.583333334	25.59333334	15.04166667	115.8866667	15.9	62.85	54	.	363	10.25	51.25	158.3333333	71.66666667	117.3333333	878.3333333	8.1	19	3.72	30.694	20.188	161.514	32.12	137.12	0.5	.	38.85	3.5	21.25	13.5	7.5	7.85	15.15	0.99	2.25	0.001666667	1.103333333	1.198833333	4.175333325	0.8	5.645
02F	0.60707257	0.996	0.003	0.001	B84	62	.	239.4	11	60	142	67	73.6	706.4	7.8	11.33333333	2.56	25.094	12.318	107.296	15.8	38.72	63	.	227.5	6	82.5	150	80	88.5	754.5	9.2	15.5	2.583333334	25.59333334	15.04166667	115.8866667	15.9	62.85	55	.	345.6666667	8.333333333	70	162.5	72.5	111	898	9.2	.	3.74	28.666	21.72	154.598	32.62	122.08	0.5	.	5.95	2.5	11.25	4	6.5	7.45	24.05	0.7	.	0.011666667	0.249666667	1.361833333	4.295333325	0.05	12.065
02F	1.5182219	0.016	0.981	0.003	B97	55	.	272.2	8.8	51	115	45	115.4	659.4	10.5	17	3.14	23.068	15.366	111.474	12.46	78.7	63	.	227.5	6	82.5	150	80	88.5	754.5	9.2	15.5	2.583333334	25.59333334	15.04166667	115.8866667	15.9	62.85	51	.	373	8	55	150	60	119	861	8.7	20	3.825	28.5725	21.5725	130.5025	20.15	110.075	4	.	22.35	1.4	15.75	17.5	17.5	13.45	47.55	0.65	0.75	0.278333333	1.262666668	0.162166667	2.206333325	1.72	7.925
02F	1.46821148	0.002	0.997	0.001	C103	60	.	369	12.25	71.25	131.25	31.25	86.25	767.75	11.56666667	16.5	2.75	19.7725	13.075	115.155	11.3	40.075	63	.	227.5	6	82.5	150	80	88.5	754.5	9.2	15.5	2.583333334	25.59333334	15.04166667	115.8866667	15.9	62.85	55	.	380.6666667	11.33333333	45	183.75	60	114.6666667	932	10.73333333	22.5	4.033333333	29.87333333	21.39333333	191.06	36.11666667	177.9666667	1.5	.	70.75	3.125	5.625	9.375	24.375	1.125	6.625	1.183333335	0.5	0.083333333	2.910416668	0.983333333	0.365833325	2.3	11.3875
02F	1.46821148	0.047	0.952	0.001	C123	55	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	63	.	227.5	6	82.5	150	80	88.5	754.5	9.2	15.5	2.583333334	25.59333334	15.04166667	115.8866667	15.9	62.85	52	.	378	10	35	147.5	60	110	875	10.6	21	3.4	28.276	21.944	154.294	25.24	158.26	4	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
