Env	DistB73	SS	NSS	TS	INBRED	DTT_Inbred	PltYield_Inbred	TSLLEN_Inbred	TSLBCHCNT_Inbred	TSLANG_Inbred	PLTHT_Inbred	UPLFANG_Inbred	LFWDT_Inbred	LFLEN_Inbred	RPR_Inbred	STLKWDT_Inbred	10KWt_Inbred	CobDia_Inbred	KnlHgt_Inbred	EarLength_Inbred	CobWt_Inbred	TotKnlWt_Inbred	DTT_B73	PltYield_B73	TSLLEN_B73	TSLBCHCNT_B73	TSLANG_B73	PLTHT_B73	UPLFANG_B73	LFWDT_B73	LFLEN_B73	RPR_B73	STLKWDT_B73	10KWt_B73	CobDia_B73	KnlHgt_B73	EarLength_B73	CobWt_B73	TotKnlWt_B73	DTT_Hyb	PltYield_Hyb	TSLLEN_Hyb	TSLBCHCNT_Hyb	TSLANG_Hyb	PLTHT_Hyb	UPLFANG_Hyb	LFWDT_Hyb	LFLEN_Hyb	RPR_Hyb	STLKWDT_Hyb	10KWt_Hyb	CobDia_Hyb	KnlHgt_Hyb	EarLength_Hyb	CobWt_Hyb	TotKnlWt_Hyb	DTT_bph	PltYield_bph	TSLLEN_bph	TSLBCHCNT_bph	TSLANG_bph	PLTHT_bph	UPLFANG_bph	LFWDT_bph	LFLEN_bph	RPR_bph	STLKWDT_bph	10KWt_bph	CobDia_bph	KnlHgt_bph	EarLength_bph	CobWt_bph	TotKnlWt_bph
03M	2.6968769	0.002	0.184	0.814	Tzi11	87	.	.	.	.	171	73.75	80.4	742.8	.	.	.	.	.	.	.	.	73.55	43.58921053	.	.	.	172.7	79.7	88.06	785.21	.	.	1.77	24.34013158	14.13634211	119.6322368	13.14736842	43.35394737	72	109.22	.	.	.	243	82	99.6	935.2	.	.	2.86	27.17	18.246	141.334	21.82	109.18	6.725	.	.	.	.	0.85	2.975	3.83	21.205	.	.	.	.	.	.	.	.
03M	1.31058254	0.248	0.351	0.401	Tzi16	88	28.98	.	.	.	168	76	93	768.4	.	.	1.74	26.948	10.354	104.466	18.08	28.66	73.55	43.58921053	.	.	.	172.7	79.7	88.06	785.21	.	.	1.77	24.34013158	14.13634211	119.6322368	13.14736842	43.35394737	72	191.82	.	.	.	261	75	107.6	1000.4	.	.	2.56	28.856	20.988	177.844	34.82	191.9	7.225	7.304605263	.	.	.	2.35	1.85	2.47	8.405	.	.	0.015	1.303934211	1.891171053	7.583118421	2.466315789	7.346973684
03M	2.04628933	0.002	0.003	0.995	TZI18	85	47.5	.	.	.	154	80	95.2	790.6	.	.	2.3	24.01	11.758	121.2	17.76	39.68	73.55	43.58921053	.	.	.	172.7	79.7	88.06	785.21	.	.	1.77	24.34013158	14.13634211	119.6322368	13.14736842	43.35394737	72	146.34	.	.	.	243	79	111.6	1039.2	.	.	2.44	29.004	17.534	169.38	31.32	146.4	5.725	1.955394737	.	.	.	9.35	0.15	3.57	2.695	.	.	0.265	0.165065789	1.189171053	0.783881579	2.306315789	1.836973684
03M	1.08743899	0.305	0.086	0.609	Tzi25	83	39.58	.	.	.	160	61	87.2	844.8	.	.	2.36	22.206	11.844	124.28	14.3	39.32	73.55	43.58921053	.	.	.	172.7	79.7	88.06	785.21	.	.	1.77	24.34013158	14.13634211	119.6322368	13.14736842	43.35394737	74	155.56	.	.	.	245	78	117	987.4	.	.	2.76	28.016	18.594	169.766	31.84	154.68	4.725	2.004605263	.	.	.	6.35	9.35	0.43	29.795	.	.	0.295	1.067065789	1.146171053	2.323881579	0.576315789	2.016973684
03M	2.00372972	0.041	0.005	0.954	TZI8	93	.	.	.	.	126.25	81	.	.	.	.	.	.	.	.	.	.	73.55	43.58921053	.	.	.	172.7	79.7	88.06	785.21	.	.	1.77	24.34013158	14.13634211	119.6322368	13.14736842	43.35394737	73	176.12	.	.	.	250	65	121.8	885.2	.	.	3.08	29.364	20.674	170.894	33.04	178.42	9.725	.	.	.	.	23.225	0.65	.	.	.	.	.	.	.	.	.	.
03M	1.96290773	0.008	0.011	0.981	Tzi9	83	26	.	.	.	195	71	86.8	853.4	.	.	1.6	23.288	9.982	100.436	12.06	25.96	73.55	43.58921053	.	.	.	172.7	79.7	88.06	785.21	.	.	1.77	24.34013158	14.13634211	119.6322368	13.14736842	43.35394737	74	99.42	.	.	.	261	68	97.4	1069.2	.	.	3	26.804	17.432	147.748	22	99.34	4.725	8.794605263	.	.	.	11.15	4.35	0.63	34.095	.	.	0.085	0.526065789	2.077171053	9.598118421	0.543684211	8.696973684
03M	2.00372972	0.002	0.595	0.403	U267Y	89	.	.	.	.	125	61.25	93	615.8	.	.	.	.	.	.	.	.	73.55	43.58921053	.	.	.	172.7	79.7	88.06	785.21	.	.	1.77	24.34013158	14.13634211	119.6322368	13.14736842	43.35394737	71	173.56	.	.	.	246	69	120.6	962.8	.	.	2.72	27.408	19.852	186.53	38.76	173.72	7.725	.	.	.	.	23.85	9.225	2.47	84.705	.	.	.	.	.	.	.	.
03M	1.59826461	0.001	0.994	0.005	Va102	75	.	.	.	.	136	73	91.4	673.6	.	.	1.9	20.095	9.455	107.66	10.9	20.55	73.55	43.58921053	.	.	.	172.7	79.7	88.06	785.21	.	.	1.77	24.34013158	14.13634211	119.6322368	13.14736842	43.35394737	68	175.28	.	.	.	229	56	98.8	872.6	.	.	2.98	25.918	18.036	187.842	32.16	175.28	0.725	.	.	.	.	18.35	3.35	1.67	55.805	.	.	0.065	2.122565789	2.340671053	5.986118421	1.123684211	11.40197368
03M	1.4929041	0.002	0.995	0.003	Va14	75	37.88	.	.	.	104	52	96.8	664.6	.	.	1.38	21.47	11.162	107.812	12	36.7	73.55	43.58921053	.	.	.	172.7	79.7	88.06	785.21	.	.	1.77	24.34013158	14.13634211	119.6322368	13.14736842	43.35394737	69	84.5	.	.	.	217	59	94.6	870.6	.	.	1.78	23.406	17.182	146.824	17.92	88.1	0.725	2.854605263	.	.	.	34.35	13.85	4.37	60.305	.	.	0.195	1.435065789	1.487171053	5.910118421	0.573684211	3.326973684
03M	1.78058617	0.001	0.995	0.004	Va22	69	88.12	.	.	.	150	64	108	728.2	.	.	2.44	22.712	14.41	175.562	26.9	88.16	73.55	43.58921053	.	.	.	172.7	79.7	88.06	785.21	.	.	1.77	24.34013158	14.13634211	119.6322368	13.14736842	43.35394737	69	148.98	.	.	.	242	71	113.2	948.6	.	.	2.4	25.96	18.196	182.354	27.68	147.04	2.275	22.26539474	.	.	.	11.35	7.85	9.97	28.505	.	.	0.335	0.814065789	0.136828947	27.96488158	6.876315789	22.40302632
